,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
12,,2014-03-26,,,,"Aardsma, David",435622,430911,single,hit_into_play,,,,,,Ian Desmond singles on a line drive to left fielder Matt Holliday.   Jayson Werth to 2nd.,S,R,R,STL,WSH,X,7.0,line_drive,0,0,2014,,,,,,,150029.0,1,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,0.9,,1.0,0.0,,46,1,,3,0,0,3,0,3,0,3,,,,-0.042,
13,,2014-03-26,,,,"Aardsma, David",430668,430911,strikeout,swinging_strike,,,,,,Scott Hairston strikes out swinging.,S,R,R,STL,WSH,S,2.0,,0,2,2014,,,,,,,150029.0,0,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,0.0,,0.0,0.0,,45,3,,3,0,0,3,0,3,0,3,,,,0.036,
14,,2014-03-26,,,,"Aardsma, David",430668,430911,,called_strike,,,,,,Scott Hairston strikes out swinging.,S,R,R,STL,WSH,S,,,0,1,2014,,,,,,,150029.0,0,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,,,,,,45,2,,3,0,0,3,0,3,0,3,,,,0.0,
15,,2014-03-26,,,,"Aardsma, David",430668,430911,,called_strike,,,,,,Scott Hairston strikes out swinging.,S,R,R,STL,WSH,S,,,0,0,2014,,,,,,,150029.0,0,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,,,,,,45,1,,3,0,0,3,0,3,0,3,,,,0.0,
16,,2014-03-26,,,,"Aardsma, David",150029,430911,walk,ball,,,,,,Jayson Werth walks.,S,R,R,STL,WSH,B,,,3,0,2014,,,,,,,,0,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,0.7,,0.0,0.0,,44,4,,3,0,0,3,0,3,0,3,,,,-0.04,
17,,2014-03-26,,,,"Aardsma, David",150029,430911,,ball,,,,,,Jayson Werth walks.,S,R,R,STL,WSH,B,,,2,0,2014,,,,,,,,0,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,,,,,,44,3,,3,0,0,3,0,3,0,3,,,,0.0,
18,,2014-03-26,,,,"Aardsma, David",150029,430911,,ball,,,,,,Jayson Werth walks.,S,R,R,STL,WSH,B,,,1,0,2014,,,,,,,,0,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,,,,,,44,2,,3,0,0,3,0,3,0,3,,,,0.0,
19,,2014-03-26,,,,"Aardsma, David",150029,430911,,ball,,,,,,Jayson Werth walks.,S,R,R,STL,WSH,B,,,0,0,2014,,,,,,,,0,6,Top,,,,,425877,,,,,,,,,,,,,,,,,396515,430911,425877,571431,407885,572761,425509,407812,445055,501800,,,,,,,,,44,1,,3,0,0,3,0,3,0,3,,,,0.0,
20,,2014-03-16,,,,"Aardsma, David",467055,430911,strikeout,swinging_strike,,,,,,Pablo Sandoval strikes out swinging.,S,L,R,SF,CLE,S,2.0,,0,2,2014,,,,,,,,2,6,Bot,,,,,276354,,,,,,,,,,,,,,,,,396484,430911,276354,476036,543401,502082,500135,488726,571980,461815,,,,0.0,,0.0,0.0,,49,3,,1,3,1,3,3,1,1,3,,,,-0.014,
21,,2014-03-16,,,,"Aardsma, David",467055,430911,,swinging_strike,,,,,,Pablo Sandoval strikes out swinging.,S,L,R,SF,CLE,S,,,0,1,2014,,,,,,,,2,6,Bot,,,,,276354,,,,,,,,,,,,,,,,,396484,430911,276354,476036,543401,502082,500135,488726,571980,461815,,,,,,,,,49,2,,1,3,1,3,3,1,1,3,,,,0.0,
22,,2014-03-16,,,,"Aardsma, David",467055,430911,,swinging_strike,,,,,,Pablo Sandoval strikes out swinging.,S,L,R,SF,CLE,S,,,0,0,2014,,,,,,,,2,6,Bot,,,,,276354,,,,,,,,,,,,,,,,,396484,430911,276354,476036,543401,502082,500135,488726,571980,461815,,,,,,,,,49,1,,1,3,1,3,3,1,1,3,,,,0.0,
23,,2014-03-16,,,,"Aardsma, David",457763,430911,field_out,hit_into_play,,,,,,"Buster Posey grounds out, second baseman Jason Kipnis to first baseman David Cooper.",S,R,R,SF,CLE,X,4.0,ground_ball,0,0,2014,,,,,,,,1,6,Bot,133.53,150.6,,,276354,,,,,,,,,,,,,,,,,396484,430911,276354,476036,543401,502082,500135,488726,571980,461815,,,,0.0,,0.0,0.0,,48,1,,1,3,1,3,3,1,1,3,,,,-0.023,
24,,2014-03-16,,,,"Aardsma, David",474832,430911,strikeout,swinging_strike,,,,,,Brandon Belt strikes out swinging.,S,L,R,SF,CLE,S,2.0,,0,2,2014,,,,,,,,0,6,Bot,,,,,276354,,,,,,,,,,,,,,,,,396484,430911,276354,476036,543401,502082,500135,488726,571980,461815,,,,0.0,,0.0,0.0,,47,3,,1,3,1,3,3,1,1,3,,,,-0.035,
25,,2014-03-16,,,,"Aardsma, David",474832,430911,,swinging_strike,,,,,,Brandon Belt strikes out swinging.,S,L,R,SF,CLE,S,,,0,1,2014,,,,,,,,0,6,Bot,,,,,276354,,,,,,,,,,,,,,,,,396484,430911,276354,476036,543401,502082,500135,488726,571980,461815,,,,,,,,,47,2,,1,3,1,3,3,1,1,3,,,,0.0,
26,,2014-03-16,,,,"Aardsma, David",474832,430911,,swinging_strike,,,,,,Brandon Belt strikes out swinging.,S,L,R,SF,CLE,S,,,0,0,2014,,,,,,,,0,6,Bot,,,,,276354,,,,,,,,,,,,,,,,,396484,430911,276354,476036,543401,502082,500135,488726,571980,461815,,,,,,,,,47,1,,1,3,1,3,3,1,1,3,,,,0.0,
27,,2014-03-14,,,,"Aardsma, David",499926,430911,field_out,hit_into_play,,,,,,Alex Liddi flies out to center fielder Jordan Smith.,S,R,R,CWS,CLE,X,8.0,fly_ball,0,0,2014,,,,,,,519421.0,2,8,Bot,116.47,106.43,,,450192,,,,,,,,,,,,,,,,,396206,430911,450192,476036,451088,489262,500135,608721,605478,645217,,,,0.0,,0.0,0.0,,67,1,,2,2,2,2,2,2,2,2,,,,-0.05,
28,,2014-03-14,,,,"Aardsma, David",519421,430911,single,hit_into_play,,,,,,Andy Wilkins singles on a fly ball to right fielder Cody Ferrell.,S,L,R,CWS,CLE,X,9.0,fly_ball,0,0,2014,,,,,,,,2,8,Bot,168.67,117.47,,,450192,,,,,,,,,,,,,,,,,396206,430911,450192,476036,451088,489262,500135,608721,605478,645217,,,,0.9,,1.0,0.0,,66,1,,2,2,2,2,2,2,2,2,,,,0.025,
29,,2014-03-14,,,,"Aardsma, David",544725,430911,field_out,hit_into_play,,,,,,"Leury Garcia grounds out, second baseman Justin Sellers to first baseman David Cooper.",S,L,R,CWS,CLE,X,4.0,ground_ball,0,0,2014,,,,,,,,1,8,Bot,138.55,157.63,,,450192,,,,,,,,,,,,,,,,,396206,430911,450192,476036,451088,489262,500135,608721,605478,645217,,,,0.0,,0.0,0.0,,65,1,,2,2,2,2,2,2,2,2,,,,-0.034,
30,,2014-03-14,,,,"Aardsma, David",493574,430911,field_out,hit_into_play,,,,,,Blake Tekotte pops out to shortstop Ronny Rodriguez.,S,L,R,CWS,CLE,X,6.0,popup,0,0,2014,,,,,,,,0,8,Bot,108.43,144.58,,,450192,,,,,,,,,,,,,,,,,396206,430911,450192,476036,451088,489262,500135,608721,605478,645217,,,,0.0,,0.0,0.0,,64,1,,2,2,2,2,2,2,2,2,,,,-0.046,
